acousticness,album,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence,class
0.732,Grace for Drowning,https://api.spotify.com/v1/audio-analysis/1mAfaiS8yke7hG73sp3keZ,0.196,0.3274706139652423,0.171,1mAfaiS8yke7hG73sp3keZ,0.68,11,0.0753,0.6800589149824073,0,Deform to Form a Star,0.0376,0.3929459190731454,4,https://api.spotify.com/v1/tracks/1mAfaiS8yke7hG73sp3keZ,audio_features,spotify:track:1mAfaiS8yke7hG73sp3keZ,0.049,1
0.0277,Grace for Drowning,https://api.spotify.com/v1/audio-analysis/6eM6LP9zOo93sDaQpOi7Iv,0.456,0.23956181202812493,0.427,6eM6LP9zOo93sDaQpOi7Iv,0.412,0,0.0983,0.5798625317077162,0,No Part of Me,0.0328,0.8754701279612657,4,https://api.spotify.com/v1/tracks/6eM6LP9zOo93sDaQpOi7Iv,audio_features,spotify:track:6eM6LP9zOo93sDaQpOi7Iv,0.17,1
0.75,Grace for Drowning,https://api.spotify.com/v1/audio-analysis/60GnLUvlb4fUHThzG8rZDT,0.464,0.1868133320074297,0.249,60GnLUvlb4fUHThzG8rZDT,0.408,0,0.0969,0.5740528598314377,1,Postcard,0.0294,0.7131354833131592,4,https://api.spotify.com/v1/tracks/60GnLUvlb4fUHThzG8rZDT,audio_features,spotify:track:60GnLUvlb4fUHThzG8rZDT,0.0914,1
0.319,Grace for Drowning,https://api.spotify.com/v1/audio-analysis/1MCamKVAN8QA68QYqpdCCy,0.418,0.39428503080292043,0.443,1MCamKVAN8QA68QYqpdCCy,0.876,9,0.0588,0.5529416578021439,0,Remainder the Black Dog,0.0264,0.5250626837281687,4,https://api.spotify.com/v1/tracks/1MCamKVAN8QA68QYqpdCCy,audio_features,spotify:track:1MCamKVAN8QA68QYqpdCCy,0.28,1
0.893,Grace for Drowning,https://api.spotify.com/v1/audio-analysis/3gZLvp9VKl0S96S2Rv81xk,0.362,0.12477425447475092,0.0911,3gZLvp9VKl0S96S2Rv81xk,0.817,7,0.121,0.8598723508714508,1,Belle De Jour,0.0373,0.9910081272695832,4,https://api.spotify.com/v1/tracks/3gZLvp9VKl0S96S2Rv81xk,audio_features,spotify:track:3gZLvp9VKl0S96S2Rv81xk,0.0353,1
0.799,Grace for Drowning,https://api.spotify.com/v1/audio-analysis/1uoswgp0iFqFUOGxpMfniQ,0.126,0.33450810249976876,0.0539,1uoswgp0iFqFUOGxpMfniQ,0.509,9,0.0901,0.8326650846902872,1,Like Dust I Have Cleared from My Eye,0.0459,0.44618926162891226,4,https://api.spotify.com/v1/tracks/1uoswgp0iFqFUOGxpMfniQ,audio_features,spotify:track:1uoswgp0iFqFUOGxpMfniQ,0.038,1
0.00221,The Raven That Refused to Sing (And Other Stories),https://api.spotify.com/v1/audio-analysis/033qZdFc0NDMcC5qgwuUux,0.416,0.5077283724138795,0.447,033qZdFc0NDMcC5qgwuUux,0.604,4,0.083,0.4331478602405695,0,Luminol,0.0309,0.9300644129344631,4,https://api.spotify.com/v1/tracks/033qZdFc0NDMcC5qgwuUux,audio_features,spotify:track:033qZdFc0NDMcC5qgwuUux,0.288,1
0.0414,The Raven That Refused to Sing (And Other Stories),https://api.spotify.com/v1/audio-analysis/4kZbYkUuDHyphD71bPMYL1,0.447,0.31797348146365856,0.349,4kZbYkUuDHyphD71bPMYL1,0.401,2,0.102,0.475738482939203,1,Drive Home,0.0314,0.6696351374719004,4,https://api.spotify.com/v1/tracks/4kZbYkUuDHyphD71bPMYL1,audio_features,spotify:track:4kZbYkUuDHyphD71bPMYL1,0.0756,1
0.000791,The Raven That Refused to Sing (And Other Stories),https://api.spotify.com/v1/audio-analysis/2Be2FRwYOryoBs15fWt9FK,0.297,0.21000644639512994,0.675,2Be2FRwYOryoBs15fWt9FK,0.00167,7,0.22,0.3569266017510842,1,The Pin Drop,0.0471,0.7053432474494207,4,https://api.spotify.com/v1/tracks/2Be2FRwYOryoBs15fWt9FK,audio_features,spotify:track:2Be2FRwYOryoBs15fWt9FK,0.04,1
0.185,The Raven That Refused to Sing (And Other Stories),https://api.spotify.com/v1/audio-analysis/7tXMYAIKHQ2nQ6hrJ4OnTV,0.315,0.48818265203443917,0.294,7tXMYAIKHQ2nQ6hrJ4OnTV,0.045,7,0.0776,0.45417723590540876,0,The Watchmaker,0.0334,0.681134359329068,4,https://api.spotify.com/v1/tracks/7tXMYAIKHQ2nQ6hrJ4OnTV,audio_features,spotify:track:7tXMYAIKHQ2nQ6hrJ4OnTV,0.0963,1
0.256,The Raven That Refused to Sing (And Other Stories),https://api.spotify.com/v1/audio-analysis/69WzNkdbqaJEK6XanOkB4P,0.265,0.3318001993027879,0.221,69WzNkdbqaJEK6XanOkB4P,0.186,5,0.0629,0.5315849766794861,1,The Raven That Refused to Sing,0.0329,0.7397814715545564,4,https://api.spotify.com/v1/tracks/69WzNkdbqaJEK6XanOkB4P,audio_features,spotify:track:69WzNkdbqaJEK6XanOkB4P,0.0659,1
0.836,Cover Version,https://api.spotify.com/v1/audio-analysis/1HRE25devhNyLMhGNbTO8u,0.389,0.14861061756743507,0.14,1HRE25devhNyLMhGNbTO8u,0.788,11,0.0774,0.5965960232386875,0,Four Trees Down,0.0378,0.6487927978557841,4,https://api.spotify.com/v1/tracks/1HRE25devhNyLMhGNbTO8u,audio_features,spotify:track:1HRE25devhNyLMhGNbTO8u,0.056,1
0.846,Cover Version,https://api.spotify.com/v1/audio-analysis/4nhy6SsrkpVddFeOWvmcdm,0.299,0.21080059776928303,0.115,4nhy6SsrkpVddFeOWvmcdm,0.691,2,0.323,0.7420832992390148,0,Lord of the Reedy River,0.0336,0.7236566228601071,4,https://api.spotify.com/v1/tracks/4nhy6SsrkpVddFeOWvmcdm,audio_features,spotify:track:4nhy6SsrkpVddFeOWvmcdm,0.0393,1
0.675,Cover Version,https://api.spotify.com/v1/audio-analysis/4So0duSAHEaBGfh5oLbW5H,0.1,0.21696604968105296,0.184,4So0duSAHEaBGfh5oLbW5H,0.802,0,0.348,0.8055396448735782,1,An End to End,0.0368,0.4055745287912848,3,https://api.spotify.com/v1/tracks/4So0duSAHEaBGfh5oLbW5H,audio_features,spotify:track:4So0duSAHEaBGfh5oLbW5H,0.0358,1
0.0771,Hand Cannot Erase,https://api.spotify.com/v1/audio-analysis/38punNoJGGFWOgOjm8eMRJ,0.49,0.5145871421190211,0.354,38punNoJGGFWOgOjm8eMRJ,0.0551,2,0.348,0.5375173881024466,1,First Regret / 3 Years Older,0.0327,0.781579629949853,4,https://api.spotify.com/v1/tracks/38punNoJGGFWOgOjm8eMRJ,audio_features,spotify:track:38punNoJGGFWOgOjm8eMRJ,0.259,1
0.0415,Hand Cannot Erase,https://api.spotify.com/v1/audio-analysis/3L6iaRFenZmnkepJ4Ey9Cm,0.619,0.17657211722008076,0.785,3L6iaRFenZmnkepJ4Ey9Cm,0.0026,1,0.136,0.4783569266017511,0,Hand Cannot Erase,0.0291,0.7456931955732319,3,https://api.spotify.com/v1/tracks/3L6iaRFenZmnkepJ4Ey9Cm,audio_features,spotify:track:3L6iaRFenZmnkepJ4Ey9Cm,0.596,1
0.0775,Hand Cannot Erase,https://api.spotify.com/v1/audio-analysis/7GVrWak6y01P1t8bwbZW8e,0.608,0.19732088652884222,0.523,7GVrWak6y01P1t8bwbZW8e,0.6,4,0.0897,0.553228050077735,0,Perfect Life,0.0295,0.7781482362095797,4,https://api.spotify.com/v1/tracks/7GVrWak6y01P1t8bwbZW8e,audio_features,spotify:track:7GVrWak6y01P1t8bwbZW8e,0.696,1
